1,0,1,1
2,0,1,1
3,0,2,2
4,0,3,1
5,0,4,2
6,1,5,0
7,0,1,5
8,0,1,1
9,0,2,1
10,0,3,1
11,0,4,5
12,1,5,0
13,0,1,1
14,0,2,5
15,0,1,1
16,0,2,1
17,0,3,1
18,0,4,5
19,0,5,2
20,0,1,1
21,0,2,5
22,0,3,5
23,0,4,5
24,0,5,5
25,0,1,1
26,0,2,1
27,0,3,1
28,0,4,5
29,0,5,1
30,0,1,1
31,0,2,1
32,0,3,5
33,0,4,5
34,0,5,1
35,0,1,1
36,0,2,1
37,0,3,5
38,0,1,1
39,0,2,1
40,0,3,1
41,0,4,5
42,0,1,1
43,0,2,1
44,0,3,1
45,0,4,1
46,0,5,1
47,0,1,1
48,0,2,1
49,0,3,5
50,0,4,1
51,0,5,1
52,1,5,1
53,0,1,1
54,0,2,5
55,0,3,5
56,0,4,5
57,0,5,5
58,1,5,6
59,0,1,5
60,0,2,5
61,0,3,5
62,0,4,5
63,0,5,5
64,1,5,6
65,0,1,1
66,0,2,5
67,0,3,5
68,0,4,5
69,0,5,5
70,1,5,5
71,0,1,1
72,0,2,5
73,0,3,2
74,0,4,2
75,0,5,5
76,1,5,5
77,0,1,1
78,0,1,1
79,0,2,3
80,0,3,1
81,0,4,1
82,0,5,1
83,1,5,1
84,0,6,1
85,0,6,1
86,0,6,1
87,0,6,1
88,0,7,4
